Date,Open,High,Low,Close,Adj Close,Volume
2010-03-03,168.839996,171.100006,167.119995,170.100006,89.050873,15012689
2010-03-04,169.009995,174.440002,168.369995,172.270004,90.186928,22078020
2010-03-05,174.050003,177.559998,173.759995,176.800003,92.558472,27804988
2010-03-09,176.610001,178.089996,174.339996,175.470001,91.862190,20023702
2010-03-10,174.800003,177.710007,172.649994,173.770004,90.972198,19300420
2010-03-11,173.009995,174.690002,170.399994,170.619995,89.323120,17311166
2010-03-12,172.399994,174.699997,171.470001,172.710007,90.417274,19784850
2010-03-15,171.550003,172.699997,168.910004,169.270004,88.616364,14757195
2010-03-16,169.970001,171.979996,169.529999,171.350006,89.705299,16842416
2010-03-17,173.020004,174.220001,170.690002,171.940002,90.014168,19591574
2010-03-18,171.199997,173.289993,170.350006,170.600006,89.312645,15940418
2010-03-19,171.000000,171.970001,166.389999,167.059998,87.459381,19885916
2010-03-22,166.339996,169.639999,164.889999,169.289993,88.626823,18650256
2010-03-23,170.009995,170.330002,165.960007,167.600006,87.742104,38634228
2010-03-24,168.000000,168.960007,164.720001,164.850006,86.302406,18753456
2010-03-25,165.000000,166.000000,160.110001,162.300003,84.967422,26195656
2010-03-26,161.970001,162.740005,159.490005,161.100006,84.339203,25377112
2010-03-29,161.000000,165.139999,160.009995,164.550003,86.145348,18271192
2010-03-30,165.369995,170.669998,165.199997,170.440002,89.228882,29532516
2010-03-31,170.000000,173.860001,169.509995,171.500000,89.783806,28481384
2010-04-01,172.490005,176.139999,172.330002,175.000000,91.616127,29126428
2010-04-02,176.149994,176.699997,173.110001,175.339996,91.794136,13625197
2010-04-05,176.369995,176.550003,173.869995,175.880005,92.076836,10862970
2010-04-06,175.500000,178.830002,174.119995,177.100006,92.715538,32572420
2010-04-07,177.500000,178.039993,174.750000,174.990005,91.610893,18672044
2010-04-08,174.009995,176.990005,172.759995,174.539993,91.375320,19821218
2010-04-09,175.979996,176.630005,174.039993,175.149994,91.694664,18551800
2010-04-12,176.149994,177.479996,174.179993,175.399994,91.825546,13348055
2010-04-13,174.580002,175.919998,173.750000,174.300003,91.249680,29133148
2010-04-14,175.619995,181.610001,175.039993,181.399994,94.966675,31248810
2010-04-15,182.940002,185.220001,181.449997,185.160004,96.935097,33882192
2010-04-16,183.000000,183.860001,179.610001,179.990005,94.228508,23738198
2010-04-19,177.000000,177.100006,173.300003,174.509995,91.359604,29095640
2010-04-20,175.750000,176.899994,174.300003,175.149994,91.694664,24513316
2010-04-21,176.000000,176.750000,171.250000,173.089996,90.616219,23771286
2010-04-22,172.210007,175.500000,169.669998,170.699997,89.364990,23504364
2010-04-23,171.500000,175.050003,170.850006,175.000000,91.616127,22539926
2010-04-26,176.949997,178.679993,175.960007,177.990005,93.181450,20801530
2010-04-27,176.699997,176.889999,173.679993,175.600006,91.930244,19357162
2010-04-28,171.500000,173.500000,169.850006,170.559998,89.291695,29704558
2010-04-29,171.770004,175.399994,171.270004,174.500000,91.354385,24012896
2010-04-30,175.149994,175.169998,169.929993,170.000000,88.998520,18473284
2010-05-04,171.399994,172.199997,163.979996,164.229996,85.977829,21048380
2010-05-05,164.000000,166.500000,161.750000,164.199997,85.962112,24707788
2010-05-06,163.000000,167.199997,162.710007,163.789993,85.747475,24254096
2010-05-07,160.039993,162.229996,153.500000,155.000000,81.145737,29578824
2010-05-11,159.899994,161.899994,157.619995,159.500000,84.809265,18427826
2010-05-12,159.500000,166.699997,158.759995,166.070007,88.302681,43569680
2010-05-13,167.000000,168.399994,160.889999,162.899994,86.617119,21885464
2010-05-14,161.229996,162.839996,158.630005,159.860001,85.000687,18256670
2010-05-17,156.889999,162.669998,156.350006,161.380005,85.808899,23497952
2010-05-18,162.100006,164.110001,160.009995,163.279999,86.819176,20790088
2010-05-19,159.800003,160.570007,156.000000,157.809998,83.910667,21763162
2010-05-20,157.740005,160.000000,150.119995,151.050003,80.316238,25691268
2010-05-21,151.050003,153.029999,146.750000,150.000000,79.757935,28701098
2010-05-24,151.990005,152.990005,147.330002,151.000000,80.289658,20734108
2010-05-25,145.710007,147.589996,142.089996,143.000000,76.035904,23360948
2010-05-26,145.800003,159.199997,144.610001,158.440002,84.245644,31404168
2010-05-27,158.000000,159.720001,153.770004,158.460007,84.256279,27183800
2010-05-28,159.160004,159.710007,154.699997,157.880005,83.947891,24139460
2010-05-31,157.500000,160.399994,156.610001,159.839996,84.990051,12635823
2010-06-01,158.199997,160.309998,154.389999,159.259995,84.681664,20164230
2010-06-02,157.210007,164.699997,156.610001,163.800003,87.095657,26668552
2010-06-03,166.500000,168.190002,164.679993,164.979996,87.723091,23657056
2010-06-04,166.100006,167.910004,161.100006,163.000000,86.670288,25552868
2010-06-07,158.149994,161.410004,157.550003,160.589996,85.388832,22321318
2010-06-08,161.490005,163.470001,157.009995,157.369995,83.676704,23553176
2010-06-09,159.000000,160.600006,157.529999,158.199997,84.118050,19425304
2010-06-10,159.199997,159.199997,155.750000,157.789993,83.900024,24895070
2010-06-11,158.800003,158.850006,154.899994,156.440002,83.182220,16148327
2010-06-15,157.199997,159.779999,156.279999,159.710007,84.920937,16070353
2010-06-16,161.000000,161.199997,157.300003,158.800003,84.437080,16344965
2010-06-17,158.500000,160.789993,156.389999,156.600006,83.267303,19608666
2010-06-18,157.100006,159.490005,156.100006,159.399994,84.756096,19027424
2010-06-21,161.770004,163.729996,161.339996,162.880005,86.606491,18716828
2010-06-22,161.250000,162.119995,158.699997,159.440002,84.777374,15774917
2010-06-23,158.009995,159.580002,157.029999,158.110001,84.070183,13240852
2010-06-24,159.000000,159.330002,154.199997,154.699997,82.257004,16719946
2010-06-25,154.419998,156.399994,151.750000,152.000000,80.821373,16252877
2010-06-28,153.000000,155.809998,152.199997,154.000000,81.884811,13045904
2010-06-29,152.080002,152.130005,149.000000,149.850006,79.678185,16159334
2010-06-30,150.000000,151.270004,147.029999,149.100006,79.279381,15230549
2010-07-01,147.000000,147.770004,143.039993,143.199997,76.142250,18814412
2010-07-02,144.800003,148.270004,144.149994,148.250000,78.827431,15630630
2010-07-05,148.000000,149.850006,146.850006,148.050003,78.721085,8491751
2010-07-06,149.449997,152.699997,148.949997,152.380005,81.023415,14180030
2010-07-07,150.610001,153.679993,148.350006,153.470001,81.603004,16069645
2010-07-08,154.710007,155.160004,151.699997,151.970001,80.805420,14473632
2010-07-09,153.000000,154.509995,150.880005,154.199997,81.991150,12026771
2010-07-12,153.520004,157.600006,152.720001,156.130005,83.017372,15977914
2010-07-13,155.800003,160.440002,155.100006,159.029999,84.559357,15264589
2010-07-14,160.199997,160.850006,157.000000,158.119995,84.075500,13825125
2010-07-15,157.899994,161.089996,156.589996,157.100006,83.533134,18621298
2010-07-16,157.570007,159.110001,155.149994,155.190002,82.517563,16343653
2010-07-19,155.100006,158.270004,154.089996,156.690002,83.315132,13488306
2010-07-20,157.699997,158.750000,154.259995,155.470001,82.666428,13692331
2010-07-21,156.889999,159.740005,156.399994,158.250000,84.144615,17682652
2010-07-22,157.169998,162.440002,157.029999,162.160004,86.223648,49552560
2010-07-23,162.500000,162.940002,160.020004,160.979996,85.596222,37740148
2010-07-26,160.979996,160.979996,160.979996,160.979996,85.596222,0
2010-07-27,162.000000,165.240005,161.470001,164.350006,87.388123,52777656
2010-07-28,164.800003,165.399994,161.610001,161.880005,86.074760,38814488
2010-07-29,162.100006,167.000000,161.729996,165.610001,88.058075,47334248
2010-07-30,164.500000,165.089996,160.130005,162.720001,86.521408,48459136
2010-08-02,164.000000,169.509995,163.990005,168.770004,89.738312,53522464
2010-08-03,169.500000,169.500000,165.050003,165.949997,88.238861,45737832
2010-08-04,165.740005,169.350006,163.660004,167.199997,88.903503,60226720
2010-08-05,167.600006,169.229996,165.550003,166.990005,88.791862,53616864
2010-08-06,167.630005,169.000000,165.259995,166.759995,88.669548,43960272
2010-08-09,167.729996,170.639999,167.729996,169.360001,90.052048,51488208
2010-08-10,168.800003,169.289993,165.600006,166.630005,88.600426,49774384
2010-08-11,165.149994,165.500000,162.089996,162.460007,86.383156,42895832
2010-08-12,161.830002,163.479996,160.149994,161.440002,85.840805,42809352
2010-08-13,163.479996,163.880005,160.259995,161.210007,85.718513,35499268
2010-08-16,161.009995,163.179993,158.910004,162.279999,86.287453,38344056
2010-08-17,163.369995,164.699997,162.720001,163.899994,87.148834,35919396
2010-08-18,163.899994,164.000000,162.229996,162.679993,86.500130,27478454
2010-08-19,163.500000,165.179993,160.039993,160.669998,85.431374,43494920
2010-08-20,160.100006,161.169998,157.809998,158.479996,84.266907,42219688
2010-08-23,159.250000,159.899994,157.130005,159.300003,84.702934,32876014
2010-08-24,157.809998,158.369995,155.460007,156.339996,83.129036,34852472
2010-08-25,156.520004,158.330002,154.720001,155.179993,82.512230,36824872
2010-08-26,157.479996,158.869995,156.800003,158.580002,84.320084,40895668
2010-08-27,157.960007,159.179993,156.500000,158.270004,84.155266,36624060
